Temperature,Moisture
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
22,854
